A¤o;RutaCompleta;Aerolinea Nombre;Clase de vuelo;Pax;Asientos_Pax;Vuelos
2015;EZE - GIG;Aerol¡neas Argentinas;Regular Internacional;122817;165209;1148
2016;EZE - GIG;Aerol¡neas Argentinas;Regular Internacional;85932;116474;721
2015;EZE - GMD;Aerol¡neas Argentinas;Regular Internacional;118;170;1
2015;EZE - GRU;Aerol¡neas Argentinas;Regular Internacional;9477;13202;92
2016;EZE - GRU;Aerol¡neas Argentinas;Regular Internacional;50913;81820;509
2016;EZE - HAV;Aerol¡neas Argentinas;Regular Internacional;5244;9281;32
2015;EZE - IAH;Aerol¡neas Argentinas;Regular Internacional;245;292;1
2015;EZE - IGR;Aerol¡neas Argentinas;Regular Cabotaje;78730;102886;711,5
2016;EZE - IGR;Aerol¡neas Argentinas;Regular Cabotaje;60772;81102;565
2016;EZE - JFK;Aerol¡neas Argentinas;No Regular Internacional;263;272;1
2015;EZE - JFK;Aerol¡neas Argentinas;Regular Internacional;152803;190816;703
2016;EZE - JFK;Aerol¡neas Argentinas;Regular Internacional;161049;196019;722
2015;EZE - JSM;Aerol¡neas Argentinas;Regular Cabotaje;49,5;85;0,5
2015;EZE - JUJ;Aerol¡neas Argentinas;Regular Cabotaje;76;192;1,5
2016;EZE - JUJ;Aerol¡neas Argentinas;Regular Cabotaje;122,5;149;1
2016;EZE - JUL;Aerol¡neas Argentinas;Regular Internacional;120;170;1
2015;EZE - LHR;Aerol¡neas Argentinas;Regular Internacional;439;577;2
2015;EZE - LIM;Aerol¡neas Argentinas;Regular Internacional;97123;122689;727
2016;EZE - LIM;Aerol¡neas Argentinas;Regular Internacional;100437;124615;733
2016;EZE - LPB;Aerol¡neas Argentinas;Regular Internacional;119;128;1
2015;EZE - LRM;Aerol¡neas Argentinas;Regular Internacional;245;293;1
2016;EZE - LUQ;Aerol¡neas Argentinas;Regular Cabotaje;64;64;0,5
2015;EZE - MAD;Aerol¡neas Argentinas;Regular Internacional;175715;200228;712
2016;EZE - MAD;Aerol¡neas Argentinas;Regular Internacional;179113;201238;737
2015;EZE - MDQ;Aerol¡neas Argentinas;Regular Cabotaje;168;521;4
2016;EZE - MDQ;Aerol¡neas Argentinas;Regular Cabotaje;0;64;0,5
2016;EZE - MDZ;Aerol¡neas Argentinas;No Regular Cabotaje;61,5;85;0,5
2015;EZE - MDZ;Aerol¡neas Argentinas;Regular Cabotaje;2428,5;4748;30
2016;EZE - MDZ;Aerol¡neas Argentinas;Regular Cabotaje;2247;3808;26
2015;EZE - MEX;Aerol¡neas Argentinas;Regular Internacional;2993;3739;13
2016;EZE - MEX;Aerol¡neas Argentinas;Regular Internacional;2611;3181;11
2016;EZE - MIA;Aerol¡neas Argentinas;No Regular Internacional;0;285;1
2015;EZE - MIA;Aerol¡neas Argentinas;Regular Internacional;331992;382081;1371
2016;EZE - MIA;Aerol¡neas Argentinas;Regular Internacional;366125;424889;1540
2015;EZE - MUC;Aerol¡neas Argentinas;Regular Internacional;292;292;1
2016;EZE - MUC;Aerol¡neas Argentinas;Regular Internacional;246;267;1
2015;EZE - MVD;Aerol¡neas Argentinas;Regular Internacional;467;861;6
2016;EZE - MVD;Aerol¡neas Argentinas;Regular Internacional;909;2295;15
2015;EZE - NQN;Aerol¡neas Argentinas;Regular Cabotaje;1257,5;1668;10,5
2016;EZE - NQN;Aerol¡neas Argentinas;Regular Cabotaje;6965,5;14738;88
2015;EZE - PLU;Aerol¡neas Argentinas;Regular Internacional;69;128;1
2015;EZE - POA;Aerol¡neas Argentinas;Regular Internacional;1835;3671;25
2016;EZE - POA;Aerol¡neas Argentinas;Regular Internacional;275;298;2
2015;EZE - PSS;Aerol¡neas Argentinas;Regular Cabotaje;84,5;128;1
2016;EZE - PSS;Aerol¡neas Argentinas;Regular Cabotaje;105;128;1
2016;EZE - PTY;Aerol¡neas Argentinas;Regular Internacional;249;292;1
2016;EZE - PUJ;Aerol¡neas Argentinas;No Regular Internacional;267;285;1
2016;EZE - PUJ;Aerol¡neas Argentinas;Regular Internacional;51191;58989;206
2016;EZE - QNS;Aerol¡neas Argentinas;Regular Internacional;164;170;1
2015;EZE - REL;Aerol¡neas Argentinas;Regular Cabotaje;45166;65174;405
2016;EZE - REL;Aerol¡neas Argentinas;Regular Cabotaje;42689,5;60050;360
2015;EZE - RES;Aerol¡neas Argentinas;Regular Cabotaje;790;935;5,5
2016;EZE - RES;Aerol¡neas Argentinas;Regular Cabotaje;1130,5;1839;12
2015;EZE - RGA;Aerol¡neas Argentinas;Regular Cabotaje;19706,5;26699;198
2016;EZE - RGA;Aerol¡neas Argentinas;Regular Cabotaje;52854;79110;600,5
2015;EZE - RGL;Aerol¡neas Argentinas;Regular Cabotaje;1281;1967;13
2016;EZE - RGL;Aerol¡neas Argentinas;Regular Cabotaje;2364,5;4374;29
2015;EZE - RHD;Aerol¡neas Argentinas;Regular Cabotaje;0;149;1
2016;EZE - RHD;Aerol¡neas Argentinas;Regular Cabotaje;276,5;383;2,5
2015;EZE - RMA;Aerol¡neas Argentinas;Regular Internacional;949;1134;4
2016;EZE - RMA;Aerol¡neas Argentinas;Regular Internacional;285;285;1
2015;EZE - ROS;Aerol¡neas Argentinas;No Regular Cabotaje;62,5;64;0,5
2015;EZE - ROS;Aerol¡neas Argentinas;Regular Cabotaje;1749;2661;19,5
2016;EZE - ROS;Aerol¡neas Argentinas;Regular Cabotaje;1860;3511;26,5
2015;EZE - SAL;Aerol¡neas Argentinas;Regular Internacional;215;298;2
2015;EZE - SCL;Aerol¡neas Argentinas;Regular Internacional;10137;13663;89
2016;EZE - SCL;Aerol¡neas Argentinas;Regular Internacional;69755;89374;566
2016;EZE - SCU;Aerol¡neas Argentinas;Regular Internacional;232;577;2
2016;EZE - SDE;Aerol¡neas Argentinas;Regular Cabotaje;134;298;2
2016;EZE - SDU;Aerol¡neas Argentinas;No Regular Internacional;0;128;1
2015;EZE - SDU;Aerol¡neas Argentinas;Regular Internacional;916;1422;9
2016;EZE - SDU;Aerol¡neas Argentinas;Regular Internacional;449;596;4
2015;EZE - SFT;Aerol¡neas Argentinas;Regular Internacional;72;170;1
2015;EZE - SLA;Aerol¡neas Argentinas;Regular Cabotaje;740;1189;8
2016;EZE - SLA;Aerol¡neas Argentinas;Regular Cabotaje;516,5;893;5,5
2016;EZE - SLZ;Aerol¡neas Argentinas;Regular Internacional;99;170;1
2016;EZE - SRZ;Aerol¡neas Argentinas;Regular Internacional;42;128;1
2015;EZE - SSA;Aerol¡neas Argentinas;No Regular Internacional;206;340;2
2015;EZE - SSA;Aerol¡neas Argentinas;Regular Internacional;79175;100850;613
2016;EZE - SSA;Aerol¡neas Argentinas;Regular Internacional;79916;100174;590
2016;EZE - TLS;Aerol¡neas Argentinas;Regular Internacional;0;272;1
2015;EZE - TUC;Aerol¡neas Argentinas;No Regular Cabotaje;62,5;170;1
2016;EZE - TUC;Aerol¡neas Argentinas;No Regular Cabotaje;50;85;0,5
2015;EZE - TUC;Aerol¡neas Argentinas;Regular Cabotaje;863,5;1431;9,5
2016;EZE - TUC;Aerol¡neas Argentinas;Regular Cabotaje;1053,5;1887;12,5
2015;EZE - UAQ;Aerol¡neas Argentinas;Regular Cabotaje;948;1552;11
2016;EZE - UAQ;Aerol¡neas Argentinas;Regular Cabotaje;763,5;1150;8
2015;EZE - USH;Aerol¡neas Argentinas;No Regular Cabotaje;231,5;293;1
2016;EZE - USH;Aerol¡neas Argentinas;No Regular Cabotaje;211,5;272;1
2015;EZE - USH;Aerol¡neas Argentinas;Regular Cabotaje;91217;131656;506
2016;EZE - USH;Aerol¡neas Argentinas;Regular Cabotaje;92450,5;125794;518,5
2015;EZE - VVI;Aerol¡neas Argentinas;Regular Internacional;45851;68229;495
2016;EZE - VVI;Aerol¡neas Argentinas;Regular Internacional;73621;123106;786
2016;EZE - ZSA;Aerol¡neas Argentinas;Regular Internacional;288;340;2
2015;FDO - FMA;Aerol¡neas Argentinas;No Regular Cabotaje;1;136;0,5
2015;FDO - GHU;Aerol¡neas Argentinas;Av. Gral Cabotaje;0;256;2
2016;FLN - ROS;Aerol¡neas Argentinas;Regular Internacional;209;256;2
2015;FTE - FTE;Aerol¡neas Argentinas;Regular Cabotaje;124,5;213;1,5
2016;FTE - FTE;Aerol¡neas Argentinas;Regular Cabotaje;76;85;0,5
2016;FTE - MDZ;Aerol¡neas Argentinas;No Regular Cabotaje;54,5;64;0,5
2015;FTE - REL;Aerol¡neas Argentinas;Regular Cabotaje;2365;7176;51
2016;FTE - RGA;Aerol¡neas Argentinas;Regular Cabotaje;41,5;64;0,5
2015;FTE - RGL;Aerol¡neas Argentinas;Regular Cabotaje;682,5;957;6
2016;FTE - RGL;Aerol¡neas Argentinas;Regular Cabotaje;570;978;6
2015;FTE - ROS;Aerol¡neas Argentinas;Regular Cabotaje;18138;27187;199
2016;FTE - ROS;Aerol¡neas Argentinas;Regular Cabotaje;25775,5;35526;269
2015;FTE - USH;Aerol¡neas Argentinas;Regular Cabotaje;133254,5;187228;1126,5
2016;FTE - USH;Aerol¡neas Argentinas;Regular Cabotaje;130681;191062;1126,5
2016;GIG - ROS;Aerol¡neas Argentinas;Regular Internacional;502;768;6
2015;GRU - LGS;Aerol¡neas Argentinas;No Regular Internacional;231;896;7
2015;GRU - LGS;Aerol¡neas Argentinas;Regular Internacional;39;128;1
2015;GRU - MDZ;Aerol¡neas Argentinas;No Regular Internacional;19;128;1
2015;GRU - ROS;Aerol¡neas Argentinas;Regular Internacional;122;170;1
2015;IGR - PSS;Aerol¡neas Argentinas;Regular Cabotaje;398,5;553;3,5
2016;IGR - PSS;Aerol¡neas Argentinas;Regular Cabotaje;502,5;723;4,5
2015;IGR - RES;Aerol¡neas Argentinas;Regular Cabotaje;364;510;3
2015;IGR - ROS;Aerol¡neas Argentinas;No Regular Cabotaje;24;64;0,5
2015;IGR - ROS;Aerol¡neas Argentinas;Regular Cabotaje;6518;8923;67
2016;IGR - ROS;Aerol¡neas Argentinas;Regular Cabotaje;4689,5;7391;53,5
2015;IGR - SLA;Aerol¡neas Argentinas;Regular Cabotaje;150;170;1
2016;IGR - SLA;Aerol¡neas Argentinas;Regular Cabotaje;117,5;340;2
2015;JUJ - RHD;Aerol¡neas Argentinas;Regular Cabotaje;12,5;64;0,5
2015;JUJ - SLA;Aerol¡neas Argentinas;Regular Cabotaje;137,5;307;2
2016;JUJ - SLA;Aerol¡neas Argentinas;Regular Cabotaje;135,5;404;2,5
2016;JUJ - TUC;Aerol¡neas Argentinas;No Regular Cabotaje;71;85;0,5
2016;JUJ - TUC;Aerol¡neas Argentinas;Regular Cabotaje;163;255;1,5
2015;LGS - MDZ;Aerol¡neas Argentinas;Regular Cabotaje;9,5;64;0,5
2015;LSC - UAQ;Aerol¡neas Argentinas;Regular Internacional;50;170;1
2016;LUQ - UAQ;Aerol¡neas Argentinas;Regular Cabotaje;48,5;128;1
2015;MDQ - MDQ;Aerol¡neas Argentinas;Regular Cabotaje;297;435;3
2016;MDQ - RGL;Aerol¡neas Argentinas;Regular Cabotaje;28;64;0,5
2015;MDQ - RSA;Aerol¡neas Argentinas;Regular Cabotaje;79,5;128;1
2016;MDQ - TUC;Aerol¡neas Argentinas;Regular Cabotaje;5739,5;6605;49
2016;MDQ - USH;Aerol¡neas Argentinas;Regular Cabotaje;67,5;85;0,5
2015;MDZ - NQN;Aerol¡neas Argentinas;No Regular Cabotaje;85,5;85;0,5
2015;MDZ - NQN;Aerol¡neas Argentinas;Regular Cabotaje;61140;72381;456
2016;MDZ - NQN;Aerol¡neas Argentinas;Regular Cabotaje;47188;53960;356
2015;MDZ - RES;Aerol¡neas Argentinas;Regular Cabotaje;57,5;85;0,5
2015;MDZ - ROS;Aerol¡neas Argentinas;Regular Cabotaje;4126,5;6915;52,5
2016;MDZ - ROS;Aerol¡neas Argentinas;Regular Cabotaje;2786,5;4667;34
2016;MDZ - SCL;Aerol¡neas Argentinas;No Regular Internacional;259;340;2
2015;MDZ - SCL;Aerol¡neas Argentinas;Regular Internacional;151;170;1
2016;MDZ - SCL;Aerol¡neas Argentinas;Regular Internacional;242;298;2
2015;MDZ - SLA;Aerol¡neas Argentinas;Regular Cabotaje;37;85;0,5
2016;MDZ - SLA;Aerol¡neas Argentinas;Regular Cabotaje;119,5;255;1,5
2015;MDZ - UAQ;Aerol¡neas Argentinas;Regular Cabotaje;470;765;4,5
2016;MDZ - UAQ;Aerol¡neas Argentinas;Regular Cabotaje;294;477;3
2015;NQN - NQN;Aerol¡neas Argentinas;Regular Cabotaje;296;340;2
2016;NQN - NQN;Aerol¡neas Argentinas;Regular Cabotaje;184;213;1,5
2015;NQN - REL;Aerol¡neas Argentinas;Regular Cabotaje;179;255;1,5
2016;NQN - REL;Aerol¡neas Argentinas;Regular Cabotaje;84,5;85;0,5
2016;NQN - SFN;Aerol¡neas Argentinas;Regular Cabotaje;34;64;0,5
2015;NQN - SLA;Aerol¡neas Argentinas;Regular Cabotaje;61,5;85;0,5
2016;NQN - UAQ;Aerol¡neas Argentinas;No Regular Cabotaje;73,5;85;0,5
2016;NQN - UAQ;Aerol¡neas Argentinas;Regular Cabotaje;17699,5;20570;121
2016;PDP - ROS;Aerol¡neas Argentinas;Regular Internacional;301;768;6
2015;PSS - PSS;Aerol¡neas Argentinas;Regular Cabotaje;38;64;0,5
2015;PSS - RES;Aerol¡neas Argentinas;Regular Cabotaje;248;362;2,5
2016;PSS - ROS;Aerol¡neas Argentinas;Regular Cabotaje;45,5;85;0,5
2015;REL - RGA;Aerol¡neas Argentinas;Regular Cabotaje;51,5;64;0,5
2015;REL - USH;Aerol¡neas Argentinas;Regular Cabotaje;21121;33605;203,5
2016;REL - USH;Aerol¡neas Argentinas;Regular Cabotaje;34328,5;55474;332
2015;RES - RES;Aerol¡neas Argentinas;Regular Cabotaje;167;170;1
2016;RES - RES;Aerol¡neas Argentinas;Regular Cabotaje;50;85;0,5
2015;RES - SLA;Aerol¡neas Argentinas;Regular Cabotaje;45;170;1
2016;RES - SSA;Aerol¡neas Argentinas;Regular Internacional;152;170;1
2015;RES - TUC;Aerol¡neas Argentinas;Regular Cabotaje;223;234;1,5
2016;RGA - RGA;Aerol¡neas Argentinas;Regular Cabotaje;21;64;0,5
2015;RGA - RGL;Aerol¡neas Argentinas;Regular Cabotaje;60;64;0,5
2016;RGA - RGL;Aerol¡neas Argentinas;Regular Cabotaje;61,5;64;0,5
2015;RGA - USH;Aerol¡neas Argentinas;Regular Cabotaje;86;128;1
2016;RGA - USH;Aerol¡neas Argentinas;Regular Cabotaje;194,5;256;2
2015;RGL - USH;Aerol¡neas Argentinas;Regular Cabotaje;6698,5;10215;72,5
2016;RGL - USH;Aerol¡neas Argentinas;Regular Cabotaje;12149,5;18109;134,5
2015;RHD - TUC;Aerol¡neas Argentinas;No Regular Cabotaje;62,5;85;0,5
2016;RHD - TUC;Aerol¡neas Argentinas;Regular Cabotaje;0;234;1,5
2016;ROS - SCL;Aerol¡neas Argentinas;Regular Internacional;112;128;1
2016;ROS - SLA;Aerol¡neas Argentinas;Regular Cabotaje;427,5;510;3
2015;SDE - SDE;Aerol¡neas Argentinas;Regular Cabotaje;100,5;128;1
2015;SDE - TUC;Aerol¡neas Argentinas;Regular Cabotaje;81,5;85;0,5
2016;SLA - SLA;Aerol¡neas Argentinas;Regular Cabotaje;0;137;1
2015;SLA - TUC;Aerol¡neas Argentinas;No Regular Cabotaje;83;85;0,5
2015;SLA - TUC;Aerol¡neas Argentinas;Regular Cabotaje;242,5;425;2,5
2016;SLA - TUC;Aerol¡neas Argentinas;Regular Cabotaje;163;298;2
2015;AEP - ASU;Aerom‚xico;Av. Gral Internacional;4;;1
2015;AEP - EPA;Aerom‚xico;Av. Gral Cabotaje;0;;0,5
2016;COR - EZE;Aerom‚xico;Regular Cabotaje;414,5;550;2
2016;COR - MEX;Aerom‚xico;Regular Internacional;480;550;2
2015;CUN - EZE;Aerom‚xico;No Regular Internacional;47;243;1
2015;EZE - LIM;Aerom‚xico;Av. Gral Internacional;0;124;1
2015;EZE - LIM;Aerom‚xico;Regular Internacional;133;372;3
2016;EZE - LIM;Aerom‚xico;Regular Internacional;256;275;1
2016;EZE - MDZ;Aerom‚xico;Regular Cabotaje;231;243;1
2016;EZE - MEX;Aerom‚xico;No Regular Internacional;181;275;1
2015;EZE - MEX;Aerom‚xico;Regular Internacional;168722;207343;912
2016;EZE - MEX;Aerom‚xico;Regular Internacional;190455;226440;862
2015;EZE - MTY;Aerom‚xico;Regular Internacional;48;243;1
2016;EZE - PTY;Aerom‚xico;Regular Internacional;188;243;1
2016;MDZ - MIA;Aerom‚xico;No Regular Internacional;219;243;1
2016;EZE - IGR;Aeronexus;Av. Gral Cabotaje;34;;0,5
2016;EZE - IGR;Aeronexus;No Regular Cabotaje;33,5;;0,5
2016;EZE - LAX;Aeronexus;No Regular Internacional;39;;1
2016;EZE - ORD;Aeronexus;No Regular Internacional;46;;1
2016;EZE - PPT;Aeronexus;Av. Gral Internacional;82;;1
2016;GIG - IGR;Aeronexus;Av. Gral Internacional;68;;1
2016;MOR - MOR;Aeronorte;Av. Gral Cabotaje;0;0;0,5
2016;ANF - TUC;Aerov¡as DAP;Av. Gral Internacional;96;120;1
2016;COR - CWB;Aerov¡as DAP;No Regular Internacional;220;240;2
2016;COR - SCL;Aerov¡as DAP;No Regular Internacional;0;240;2
2016;COR - SCL;Aerov¡as DAP;Regular Internacional;55;264;2
2016;CRD - REL;Aerov¡as DAP;Av. Gral Cabotaje;1,5;0;1
2016;CRD - RGL;Aerov¡as DAP;Av. Gral Cabotaje;1,5;0;0,5
2016;CRD - RGL;Aerov¡as DAP;Regular Cabotaje;0,5;0;0,5
2016;FTE - PNT;Aerov¡as DAP;Av. Gral Internacional;10;40;3
2016;FTE - PNT;Aerov¡as DAP;Regular Internacional;10;20;2
2016;FTE - PUQ;Aerov¡as DAP;Av. Gral Internacional;0;0;1
2016;FTE - PUQ;Aerov¡as DAP;Regular Internacional;0;20;2
2016;FTE - RGL;Aerov¡as DAP;Av. Gral Cabotaje;0;0;1
2016;FTE - RGL;Aerov¡as DAP;No Regular Cabotaje;4;0;1
2016;IQQ - JUJ;Aerov¡as DAP;No Regular Internacional;119;0;2
2015;LSC - UAQ;Aerov¡as DAP;No Regular Internacional;97;240;2
2015;PUQ - RGL;Aerov¡as DAP;Av. Gral Internacional;0;;1
2016;PUQ - RGL;Aerov¡as DAP;Av. Gral Internacional;5;144;3
2016;PUQ - RGL;Aerov¡as DAP;Regular Internacional;0;0;1
2015;PUQ - USH;Aerov¡as DAP;Av. Gral Internacional;4;0;2
2016;PUQ - USH;Aerov¡as DAP;No Regular Internacional;304;546;40
2016;PUQ - USH;Aerov¡as DAP;Regular Internacional;14;20;2
2016;REL - RGL;Aerov¡as DAP;Av. Gral Cabotaje;1,5;0;1
2016;SCL - TUC;Aerov¡as DAP;Av. Gral Internacional;101;456;3
2015;SCL - UAQ;Aerov¡as DAP;No Regular Internacional;0;240;2
2016;USH - WPU;Aerov¡as DAP;Av. Gral Internacional;1;;2
2016;USH - WPU;Aerov¡as DAP;No Regular Internacional;14;;2
2015;EZE - MEC;Aerovitro;No Regular Internacional;6;;1
2015;EZE - TUC;Aerovitro;Av. Gral Cabotaje;6;;1
2015;MEC - SLA;Aerovitro;Av. Gral Internacional;6;;1
2015;SLA - TUC;Aerovitro;Av. Gral Cabotaje;6;;1
2016;AEP - COR;Air Alsie;Av. Gral Cabotaje;1;;0,5
2016;AEP - TFS;Air Alsie;Av. Gral Internacional;1;;1
2015;EZE - LPA;Air Alsie;No Regular Internacional;3;;1
2015;EZE - SCL;Air Alsie;Av. Gral Internacional;3;;1
2015;EZE - EZE;Air Canada;Regular Cabotaje;38,5;106;0,5
2016;EZE - IAH;Air Canada;Regular Internacional;25;400;1
2015;EZE - SCL;Air Canada;No Regular Internacional;477;982;4
2016;EZE - SCL;Air Canada;No Regular Internacional;409;450;1
2015;EZE - SCL;Air Canada;Regular Internacional;101220;156353;514
2016;EZE - SCL;Air Canada;Regular Internacional;111771;162190;552
2015;EZE - YTZ;Air Canada;Regular Internacional;223;400;1
2016;ASU - COR;Air Europa;Regular Internacional;1582;4784;16
2015;EZE - MAD;Air Europa;Regular Internacional;192995;219636;735
2016;EZE - MAD;Air Europa;Regular Internacional;195526;219466;734
2015;EZE - MVD;Air Europa;Regular Internacional;701;1196;4
2016;EZE - MVD;Air Europa;Regular Internacional;455;598;2
2016;CDG - EZE;Air France;No Regular Internacional;306;280;1
2015;CDG - EZE;Air France;Regular Internacional;202131;223918;725
2016;CDG - EZE;Air France;Regular Internacional;190523;207161;723
2015;EZE - FCO;Air France;Regular Internacional;1269;1557;5
2016;EZE - FCO;Air France;Regular Internacional;309;309;1
2016;EZE - FRA;Air France;Regular Internacional;280;560;2
2015;EZE - LBG;Air France;Regular Internacional;1470;1871;6
2016;EZE - LBG;Air France;Regular Internacional;210;309;1
2016;EZE - LTQ;Air France;Regular Internacional;299;312;1
2015;EZE - MAD;Air France;Regular Internacional;616;690;2
2015;EZE - MLZ;Air France;Regular Internacional;70;280;1
2015;EZE - MVD;Air France;Regular Internacional;57653;220676;713
2016;EZE - MVD;Air France;Regular Internacional;46125;157841;550
2015;AKL - EZE;Air New Zealand;Regular Internacional;5999;8032;26
2016;AKL - EZE;Air New Zealand;Regular Internacional;76970;99828;323
2016;EZE - EZE;Air New Zealand;Regular Cabotaje;66;156;0,5
2016;ASU - ROS;Air Nostrum;Av. Gral Internacional;0;;2
2015;EZE - PUQ;Airfix Aviation;Av. Gral Internacional;1;;1
2016;IGR - IGU;AirTanker Services;Av. Gral Internacional;0;;2
2016;AEP - MVD;Alas Uruguay;No Regular Internacional;462;2908;22
2016;AEP - MVD;Alas Uruguay;Regular Internacional;41178;106888;801
2016;AEP - PDP;Alas Uruguay;No Regular Internacional;171;792;6
2016;AEP - PDP;Alas Uruguay;Regular Internacional;2909;11428;86
2016;MDZ - MVD;Alas Uruguay;No Regular Internacional;92;272;2
2016;MDZ - MVD;Alas Uruguay;Regular Internacional;84;272;2
2016;MVD - ROS;Alas Uruguay;Av. Gral Internacional;179;396;3
2016;MVD - ROS;Alas Uruguay;No Regular Internacional;175;660;5
2016;MVD - ROS;Alas Uruguay;Regular Internacional;0;132;1
2016;PDP - ROS;Alas Uruguay;Av. Gral Internacional;0;132;1
2016;POA - ROS;Alas Uruguay;No Regular Internacional;117;132;1
2016;POA - ROS;Alas Uruguay;Regular Internacional;119;132;1
2015;BCN - EZE;Alitalia;Regular Internacional;288;293;1
2015;COR - EZE;Alitalia;Regular Cabotaje;136;147;0,5
2015;COR - FCO;Alitalia;Regular Internacional;274;293;1
2015;EZE - FCO;Alitalia;Regular Internacional;187403;212132;724
2016;EZE - FCO;Alitalia;Regular Internacional;188247;212132;724
2016;EZE - FRA;Alitalia;Regular Internacional;286;293;1
2016;EZE - MAD;Alitalia;Regular Internacional;566;586;2
2015;EZE - MVD;Alitalia;Regular Internacional;291;293;1
2016;EZE - RMA;Alitalia;Regular Internacional;567;586;2
2015;EZE - RMG;Alitalia;Regular Internacional;293;293;1
2015;EZE - ROS;Alitalia;Regular Cabotaje;146;147;0,5
2015;FCO - ROS;Alitalia;Regular Internacional;292;293;1
2016;AEP - MVD;Amaszonas;No Regular Internacional;10452;16950;339
2016;AEP - MVD;Amaszonas;Regular Internacional;1884;3250;65
2016;AEP - PDP;Amaszonas;No Regular Internacional;781;2050;41
2016;AEP - PDP;Amaszonas;Regular Internacional;56;150;3
2016;COR - CWB;Amaszonas;No Regular Internacional;46;50;1
2016;COR - CWB;Amaszonas;Regular Internacional;47;50;1
2016;COR - MVD;Amaszonas;No Regular Internacional;0;100;2
2016;COR - VVI;Amaszonas;Regular Internacional;40;100;2
2016;EZE - MVD;Amaszonas;Av. Gral Internacional;3;100;2
2016;EZE - VVI;Amaszonas;No Regular Internacional;42;;2
2016;EZE - VVI;Amaszonas;Regular Internacional;0;100;2
2016;JUJ - UYU;Amaszonas;Av. Gral Internacional;41;50;1
2016;JUJ - VVI;Amaszonas;Av. Gral Internacional;0;50;1
2016;MDQ - MVD;Amaszonas;Av. Gral Internacional;0;50;1
2016;MDQ - PDP;Amaszonas;Av. Gral Internacional;48;50;1
2015;SLA - TJA;Amaszonas;No Regular Internacional;4344;6800;136
2015;SLA - TJA;Amaszonas;Regular Internacional;2067;3360;62
2016;SLA - VVI;Amaszonas;No Regular Internacional;41;100;2
2015;SLA - VVI;Amaszonas;Regular Internacional;88;100;2
2016;COR - EZE;American Airlines;Regular Cabotaje;148,5;155;0,5
2016;COR - MIA;American Airlines;Regular Internacional;297;310;1
2015;DAL - EZE;American Airlines;Regular Internacional;11329;14413;58
2016;DAL - EZE;American Airlines;Regular Internacional;17588;24402;89
2015;DFW - EZE;American Airlines;Regular Internacional;122137;154226;603
2016;DFW - EZE;American Airlines;Regular Internacional;130966;173969;636
2015;EWR - EZE;American Airlines;Regular Internacional;212;260;1
2015;EZE - EZE;American Airlines;Regular Cabotaje;112,5;113;0,5
2016;EZE - EZE;American Airlines;Regular Cabotaje;213;260;1
2015;EZE - FLL;American Airlines;Regular Internacional;473;520;2
2015;EZE - IAH;American Airlines;Regular Internacional;219;260;1
2016;EZE - IAH;American Airlines;Regular Internacional;756;909;3
2015;EZE - JFK;American Airlines;Regular Internacional;145636;191239;706
2016;EZE - JFK;American Airlines;Regular Internacional;161675;188077;721
2015;EZE - LRD;American Airlines;Regular Internacional;861;923;4
2016;EZE - MAD;American Airlines;Regular Internacional;187;205;1
2016;EZE - MIA;American Airlines;No Regular Internacional;246;245;1
2015;EZE - MIA;American Airlines;Regular Internacional;337023;405807;1495
2016;EZE - MIA;American Airlines;Regular Internacional;396730;471843;1646
2015;EZE - MVD;American Airlines;Regular Internacional;234;450;2
2016;AEP - BHI;American Jet;Av. Gral Cabotaje;5,5;0;0,5
2016;AEP - BHI;American Jet;No Regular Cabotaje;5,5;0;0,5
2015;AEP - BRC;American Jet;No Regular Cabotaje;0;10;0,5
2016;AEP - BRC;American Jet;No Regular Cabotaje;0;10;0,5
2016;AEP - CNQ;American Jet;Av. Gral Cabotaje;4;0;1
2015;AEP - COR;American Jet;Av. Gral Cabotaje;3,5;14;1
2015;AEP - COR;American Jet;No Regular Cabotaje;9;10;0,5
2016;AEP - COR;American Jet;No Regular Cabotaje;18;0;3
2016;AEP - CRD;American Jet;No Regular Cabotaje;0;10;0,5
2015;AEP - FDO;American Jet;Av. Gral Cabotaje;0;16;2
2016;AEP - FDO;American Jet;Av. Gral Cabotaje;4,5;72;12,5
2016;AEP - FDO;American Jet;No Regular Cabotaje;6,5;108;13
2015;AEP - FLN;American Jet;Av. Gral Internacional;8;8;1
2016;AEP - FMA;American Jet;No Regular Cabotaje;97,5;100;4
2015;AEP - JUJ;American Jet;Av. Gral Cabotaje;7,5;8;1
2016;AEP - JUJ;American Jet;No Regular Cabotaje;10,5;0;2
2016;AEP - LGS;American Jet;Av. Gral Cabotaje;0;4;0,5
2016;AEP - LGS;American Jet;No Regular Cabotaje;1;4;0,5
2016;AEP - MDQ;American Jet;Av. Gral Cabotaje;16,5;12;2
2016;AEP - MDQ;American Jet;No Regular Cabotaje;21,5;32;4,5
2016;AEP - MDQ;American Jet;Regular Cabotaje;0,5;4;0,5
2016;AEP - MDZ;American Jet;No Regular Cabotaje;1,5;113;3,5
2015;AEP - MDZ;American Jet;Regular Cabotaje;56,5;85;0,5
2016;AEP - MDZ;American Jet;Regular Cabotaje;75,5;84;0,5
2016;AEP - MVD;American Jet;No Regular Internacional;4;19;1
2015;AEP - NQN;American Jet;Av. Gral Cabotaje;0;10;0,5
