IDProy;CategObra;Obra;ObraWeb;Total;IATA;SNA;Provincia;total_m;anterior_m;a2025_m;a2026_m;a2027_m;posterior_m;Ant1024;agosto;septiembre;octubre;noviembre;diciembre;A2025;A2026;A2027;PeriPost
355 - Resc. Acc. Pref.;Terminal de pasajeros;GOIA - Aeropuerto Formosa - Nueva Terminal de Pasajeros - Modificacion de Monto;Nueva Terminal de Pasajeros;5873917287;FMA;Grupo A;FORMOSA;5873,92 M;4873,92 M;1000,00 M;0,00 M;0,00 M;0,00 M;4873917287;1000000000;0;0;0;0;1000000000;0;0;0
377 - Resc. Acc. Pref. ;Plataforma;GOIA - Aeropuerto Catamarca - Iluminacion de Plataforma - Modificacion de Monto;Iluminacion de Plataforma;145545262;CTC;Grupo A;CATAMARCA;145,55 M;116,69 M;28,85 M;0,00 M;0,00 M;0,00 M;116690694;0;0;28854568;0;0;28854568;0;0;0
435 - Resc. Acc. Pref. ;Terminal de pasajeros;GOIA - Aeropuerto San Rafael - Remodelacion y Ampliacion de la Terminal de Pasajeros  - Modificacion de Monto-;Remodelacion y Ampliacion de la Terminal de Pasajeros;15857922502;AFA;Grupo A;MENDOZA;15857,92 M;2149,18 M;5064,52 M;8644,22 M;0,00 M;0,00 M;2149184618;247824898;542678715;907705240;1666474365;1699834042;5064517260;8644220623;0;0
438 - Resc. Acc. Pref.;Sistema de aproximacion;GOIA - Aeropuerto Viedma - Sistema de Luces de Aproximacion (Instalacion) - Modificacion de Monto;Sistema de Luces de Aproximacion (Instalacion);1495136807;VDM;Grupo A;RIO NEGRO;1495,14 M;428,57 M;476,91 M;589,65 M;0,00 M;0,00 M;428572810;0;0;50272507;209134316;217505189;476912012;589651985;0;0
441 - Resc. Acc. Pref.;Equipamiento electrico;GOIA - Aeropuerto Ezeiza - Nuevos Alimentadores Cable 9 y 10 en 13,2 kv - Modificacion de Monto;Nuevos Alimentadores Cable 9 y 10 en 13,2 kv ;8426603347;EZE;Grupo A;BUENOS AIRES;8426,60 M;7026,60 M;1400,00 M;0,00 M;0,00 M;0,00 M;7026603347;0;300000000;300000000;800000000;;1400000000;;0;0
513 - 1,25 %;Equipamiento, Software y Servicios de Sistemas ;DSyTI - Equipamiento, Software y Servicios de Sistemas para el ORSNA - Nuevo proyecto-;;12.264.731.491;SNA;SNA;SNA;12264,73 M;0,00 M;2702,03 M;4664,47 M;4898,22 M;0,00 M;0;0;5539518;1209581184;1298039518;188872851;2702033070;4664474211;4898224211;0
116 - 1,25 ;Gastos de Funcionamiento ORSNA;ORSNA -  Gastos de Funcionamiento ORSNA (Gastos corrientes de mantenimiento de veh’culos e instalaciones, bienes de consumo y de uso, impuestos, tasas, aportes y contribuciones, pasajes y vi‡ticos, en que debe incurrir el ORSNA en cumplimiento de sus funciones, entre otros)   - Modificacion del objeto y monto -;;10.296.455.344;SNA;SNA;SNA;10296,46 M;1200,20 M;2345,71 M;4207,14 M;2543,40 M;0,00 M;1200197036;164885177;1137019958;167134284;470311636;406363611;2345714666;4207144248;2543399394;0







